id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
floki,9.493e-05,917127936,-2.98584,9.924e-05,9.472e-05,0.00034495,8.428e-08,29-08-2025 13:16:00
arbitrum-bridged-wbtc-arbitrum-one,110459.0,914793764,-2.21326,113351.0,110190.0,124121.0,49594.0,29-08-2025 13:16:00
saros-finance,0.346057,908419746,3.16993,0.349091,0.335424,0.41359,0.00101093,29-08-2025 13:16:00
ether-fi-staked-eth,4364.99,872285585,-4.05197,4597.78,4364.87,5307.23,1394.71,29-08-2025 13:16:00
pancakeswap-token,2.54,871499050,-3.73993,2.65,2.53,43.96,0.194441,29-08-2025 13:16:00
kaia,0.149292,871317237,-5.08459,0.161099,0.149065,0.406698,0.090737,29-08-2025 13:16:00
cgeth-hashkey-cloud,4280.09,855620487,-1.77824,4460.89,4279.62,4746.13,1430.7,29-08-2025 13:16:00
clbtc,110052.0,850120069,-3.70156,115486.0,110052.0,129190.0,51493.0,29-08-2025 13:16:00
l2-standard-bridged-weth-base,4392.08,828898586,-3.91801,4627.85,4385.64,4952.69,1394.17,29-08-2025 13:16:00
dogwifcoin,0.81765,816746868,-1.4549,0.853374,0.816051,4.83,0.00155464,29-08-2025 13:16:00
fartcoin,0.813463,812792962,-1.30086,0.850557,0.812781,2.48,0.02002855,29-08-2025 13:16:00
pendle,4.78,801691672,-6.74038,5.2,4.75,7.5,0.03377729,29-08-2025 13:16:00
theta-token,0.79773,797608310,-0.37162,0.82996,0.79431,15.72,0.04039979,29-08-2025 13:16:00
tezos,0.747483,787398417,-5.73202,0.802395,0.745603,9.12,0.350476,29-08-2025 13:16:00
vaulta,0.496684,786751758,-2.4085,0.514996,0.49564,0.778734,0.455113,29-08-2025 13:16:00
iota,0.194559,775621401,-1.60025,0.203675,0.193738,5.25,0.081637,29-08-2025 13:16:00
ethereum-name-service,23.4,774362116,-4.15169,24.7,23.35,83.4,6.69,29-08-2025 13:16:00
virtual-protocol,1.16,757262187,-2.01675,1.22,1.15,5.07,0.00748604,29-08-2025 13:16:00
gala,0.0164772,752334122,-0.95881,0.01729323,0.01642668,0.824837,0.00013475,29-08-2025 13:16:00
memecore,0.450616,747751663,6.0169,0.44926,0.400592,0.897338,0.04746135,29-08-2025 13:16:00
jito-governance-token,1.99,738152661,-2.29327,2.11,1.99,6.01,1.43,29-08-2025 13:16:00
ousg,112.35,727425893,0.01113,112.35,112.34,112.35,95.09,29-08-2025 13:16:00
jasmycoin,0.01458832,704950688,-3.33719,0.01535382,0.0145558,4.79,0.00275026,29-08-2025 13:16:00
loaded-lions,0.02282691,698672323,-10.76522,0.02796477,0.0223726,0.03159196,0.00221931,29-08-2025 13:16:00
ripple-usd,0.999553,687663563,0.00737,1.001,0.998516,1.073,0.962292,29-08-2025 13:16:00
morpho,2.08,687086824,-4.59906,2.23,2.07,4.17,0.713151,29-08-2025 13:16:00
newton-project,0.00913287,682879876,-0.24842,0.00916448,0.00912163,0.01727373,3.8e-06,29-08-2025 13:16:00
build-on,0.681769,680009585,22.66769,0.725509,0.553944,0.725509,0.175498,29-08-2025 13:16:00
zcash,41.79,679031024,-0.91126,42.81,41.46,3191.93,16.08,29-08-2025 13:16:00
usdx-money-usdx,0.997462,678714836,0.01668,1.001,0.995419,1.057,0.944423,29-08-2025 13:16:00
ondo-us-dollar-yield,1.081,677246436,0.10072,1.096,1.075,1.26,0.934184,29-08-2025 13:16:00
the-sandbox,0.275465,672497834,-2.21922,0.285755,0.274965,8.4,0.02897764,29-08-2025 13:16:00
stader-ethx,4673.78,668723096,-4.09287,4914.75,4671.17,5253.42,1474.49,29-08-2025 13:16:00
flow,0.412261,659586467,3.92725,0.439449,0.396395,42.4,0.292024,29-08-2025 13:16:00
mantle-restaked-eth,4714.44,655215843,-3.59991,4963.6,4704.71,5306.91,1480.7,29-08-2025 13:16:00
tbtc,109934.0,647580662,-2.44875,113188.0,109716.0,123844.0,10104.3,29-08-2025 13:16:00
bittorrent,6.54216e-07,644883384,-2.47569,6.71458e-07,6.53944e-07,3.43e-06,3.65368e-07,29-08-2025 13:16:00
arbitrum-bridged-weth-arbitrum-one,4396.88,644689208,-3.80525,4626.62,4384.95,4952.19,1395.31,29-08-2025 13:16:00
coinbase-wrapped-staked-eth,4822.75,619480888,-4.06037,5080.52,4820.23,5441.47,1036.96,29-08-2025 13:16:00
sweth,4807.33,582580489,-3.9863,5072.92,4796.88,5370.2,1516.13,29-08-2025 13:16:00
usual-usd,0.998606,569721530,0.06055,0.998699,0.997859,1.33,0.962885,29-08-2025 13:16:00
beldex,0.076166,558861103,0.55717,0.078093,0.075712,0.450785,0.00027519,29-08-2025 13:16:00
global-dollar,0.999675,551382106,0.01094,0.999853,0.999252,1.65,0.907561,29-08-2025 13:16:00
binance-peg-dogecoin,0.215777,551362101,-3.2662,0.225741,0.214574,0.480585,0.04955727,29-08-2025 13:16:00
walrus-2,0.390617,551257802,-3.34859,0.408537,0.389953,0.759179,0.360051,29-08-2025 13:16:00
bitcoin-avalanche-bridged-btc-b,110060.0,548969530,-2.65077,113448.0,110195.0,124076.0,7806.11,29-08-2025 13:16:00
decentraland,0.286259,548879386,-1.45319,0.296165,0.285565,5.85,0.00923681,29-08-2025 13:16:00
vision-3,0.168947,547392151,-3.1098,0.175823,0.169037,0.223874,0.120088,29-08-2025 13:16:00
bitcoin-cash-sv,26.07,517492837,-2.82187,27.19,25.98,489.75,21.43,29-08-2025 13:16:00
ether-fi,1.086,504800303,-1.9228,1.15,1.083,8.53,0.40432,29-08-2025 13:16:00
syrup,0.453161,502731119,0.23677,0.456241,0.431861,0.653229,0.085229,29-08-2025 13:16:00
frax-ether,4374.72,501479312,-3.45288,4574.4,4367.69,4906.89,1137.25,29-08-2025 13:16:00
starknet,0.129233,493259289,-2.49375,0.136316,0.128698,4.41,0.097027,29-08-2025 13:16:00
true-usd,0.997554,493164648,0.00281,0.998347,0.996293,1.62,0.88355,29-08-2025 13:16:00
helium,2.62,486209291,-0.69038,2.7,2.61,54.88,0.113248,29-08-2025 13:16:00
solv-protocol-solvbtc-bbn,109706.0,478120904,-1.24099,111707.0,109707.0,175368.0,11402.13,29-08-2025 13:16:00
based-brett,0.04842755,477573217,-3.67238,0.05115,0.04816463,0.234204,0.00084753,29-08-2025 13:16:00
dydx-chain,0.61677,476906129,-1.37218,0.647654,0.614675,4.52,0.418236,29-08-2025 13:16:00
neo,6.76,476661756,-4.3397,7.21,6.74,198.38,0.078349,29-08-2025 13:16:00
polygon-pos-bridged-weth-polygon-pos,4387.49,474361699,-4.05393,4623.54,4385.04,4948.98,1390.73,29-08-2025 13:16:00
apecoin,0.571997,457220636,-1.84686,0.598671,0.571364,26.7,0.354833,29-08-2025 13:16:00
bybit-staked-sol,230.35,455761291,-1.01859,239.99,229.55,308.6,103.09,29-08-2025 13:16:00
apenft,4.56776e-07,452268445,-0.289,4.58907e-07,4.55852e-07,7.53e-06,2.98737e-07,29-08-2025 13:16:00
usdd,0.999725,451400027,-0.00941,1.001,0.99859,1.052,0.928067,29-08-2025 13:16:00
zksync,0.062193,449480372,0.69858,0.066876,0.06149,0.320983,0.03697818,29-08-2025 13:16:00
reserve-rights-token,0.00753857,447683354,-2.06772,0.00802709,0.00752479,0.117424,0.00121354,29-08-2025 13:16:00
mantle-bridged-usdt-mantle,0.997588,440674446,-1.88817,1.017,0.989112,1.26,0.869914,29-08-2025 13:16:00
sun-token,0.02289046,438266009,-4.95461,0.02411717,0.02280616,66.45,0.00462303,29-08-2025 13:16:00
coredaoorg,0.434311,437178499,0.35797,0.442238,0.430403,6.14,0.334237,29-08-2025 13:16:00
savings-dai,1.16,436963637,0.02792,1.17,1.16,1.27,0.186576,29-08-2025 13:16:00
telcoin,0.00470349,435434240,-9.16191,0.00520396,0.00469894,0.064483,6.474e-05,29-08-2025 13:16:00
polygon-pos-bridged-dai-polygon-pos,0.99984,435417217,0.03746,1.0,0.999436,1.025,0.957024,29-08-2025 13:16:00
arweave,6.56,428770400,-1.83421,6.89,6.55,89.24,0.298788,29-08-2025 13:16:00
thorchain,1.21,425818830,-3.45985,1.27,1.21,20.87,0.00851264,29-08-2025 13:16:00
dexe,7.46,425699950,-0.93472,7.54,7.39,32.38,0.671563,29-08-2025 13:16:00
wormhole,0.089701,425196279,20.99734,0.101924,0.074029,1.66,0.051583,29-08-2025 13:16:00
bridged-usdc-polygon-pos-bridge,0.999814,423265562,-3e-05,0.999839,0.999676,1.028,0.975633,29-08-2025 13:16:00
benqi-liquid-staked-avax,29.61,419717108,-1.42009,30.82,29.51,103.55,9.25,29-08-2025 13:16:00
elrond-erd-2,14.67,418518343,-2.3196,15.4,14.65,545.64,6.51,29-08-2025 13:16:00
treehouse-eth,5331.18,413554879,-3.79648,5610.08,5320.81,6000.87,1683.91,29-08-2025 13:16:00
instadapp,6.1,412868533,-3.13327,6.48,6.1,24.4,0.366538,29-08-2025 13:16:00
hashnote-usyc,1.097,411985419,-0.00061,1.097,1.097,1.12,1.026,29-08-2025 13:16:00
kava,0.379581,410375768,1.22926,0.3889,0.37121,9.12,0.247359,29-08-2025 13:16:00
tokenize-xchange,5.16,409102943,0.42301,5.25,4.98,50.43,0.111255,29-08-2025 13:16:00
compound-governance-token,43.2,407695492,-2.70562,44.92,43.11,910.54,25.74,29-08-2025 13:16:00
chain-2,0.01156814,402661972,-0.74554,0.01276945,0.01154056,0.184139,0.0007055,29-08-2025 13:16:00
usdb,0.994735,401693520,-0.38565,1.012,0.979562,1.088,0.882623,29-08-2025 13:16:00
ecash,2.01e-05,399818742,-1.78144,2.085e-05,2.007e-05,0.00038001,1.604e-05,29-08-2025 13:16:00
eigenlayer,1.22,398025447,-2.40011,1.28,1.21,5.65,0.668501,29-08-2025 13:16:00
superstate-short-duration-us-government-securities-fund-ustb,10.8,390600117,0.01111,10.8,10.8,10.8,10.29,29-08-2025 13:16:00
chiliz,0.03958035,386762644,-1.13254,0.04111197,0.03943458,0.878633,0.00410887,29-08-2025 13:16:00
aioz-network,0.32315,383188331,-6.81821,0.349721,0.322286,2.65,0.01099588,29-08-2025 13:16:00
axie-infinity,2.3,382886386,-1.72247,2.4,2.3,164.9,0.123718,29-08-2025 13:16:00
beam-2,0.00737011,378117740,-0.07838,0.00778727,0.00727821,0.04416304,0.00429024,29-08-2025 13:16:00
wrapped-avax,24.16,372003140,-1.62947,25.18,24.14,2000.68,7.91,29-08-2025 13:16:00
olympus,22.41,366869193,-0.76374,22.75,22.33,1415.26,7.54,29-08-2025 13:16:00
keeta,0.885764,363461157,-0.5075,0.982727,0.724723,1.68,0.0068199,29-08-2025 13:16:00
superfarm,0.587408,363305753,-1.57217,0.605433,0.586262,4.74,0.070397,29-08-2025 13:16:00
unit-bitcoin,110196.0,360535049,-2.66642,113320.0,110234.0,124343.0,73355.0,29-08-2025 13:16:00
drift-staked-sol,237.48,358662313,-0.88511,242.1,237.32,311.34,107.06,29-08-2025 13:16:00
aethir,0.03150044,358436261,-1.74269,0.03286043,0.03147231,0.118536,0.02439678,29-08-2025 13:16:00
wrapped-hype,44.48,357119800,-8.19813,48.9,44.42,50.95,9.43,29-08-2025 13:16:00
just,0.03613823,356735283,-3.52731,0.03773013,0.035975,0.193254,0.00476275,29-08-2025 13:16:00
steakhouse-usdc-morpho-vault,1.097,355860118,0.01281,1.099,1.097,9.61,1.034,29-08-2025 13:16:00
bio-protocol,0.17372,354782852,-8.12002,0.19336,0.172242,0.888995,0.0407545,29-08-2025 13:16:00
mog-coin,8.9804e-07,350355851,-6.65076,9.86937e-07,8.94709e-07,4.02e-06,4.526e-09,29-08-2025 13:16:00
gho,0.999435,350295799,0.02487,0.999673,0.999123,1.03,0.917065,29-08-2025 13:16:00
ronin,0.50564,350102128,-3.14606,0.527185,0.504675,4.45,0.196601,29-08-2025 13:16:00
wrapped-ether-mantle-bridge,4384.24,349613522,-3.95268,4631.61,4375.81,4962.42,1402.44,29-08-2025 13:16:00
deep,0.139125,347149639,-2.10351,0.144838,0.138863,0.341085,0.01073218,29-08-2025 13:16:00
zebec-network,0.00403277,346902219,-6.981,0.00439955,0.00401816,0.00700261,0.00069854,29-08-2025 13:16:00
reserve-protocol-eth-plus,4609.28,345452016,-3.7351,4822.52,4608.41,5150.57,1461.53,29-08-2025 13:16:00
1inch,0.247007,344103187,-1.45489,0.254751,0.246465,8.65,0.149574,29-08-2025 13:16:00
gnosis,129.14,340944519,-2.76973,134.36,129.16,644.2,6.88,29-08-2025 13:16:00
staked-frax-ether,4936.97,340545244,-3.8927,5204.18,4930.17,7545.09,1147.58,29-08-2025 13:16:00
eutbl,1.21,336426398,0.24857,1.21,1.21,1.22,1.011,29-08-2025 13:16:00
berachain-bera,2.68,335359751,4.71503,2.9,2.55,14.83,1.51,29-08-2025 13:16:00
movement,0.124246,335330477,0.14884,0.130484,0.123848,1.45,0.112218,29-08-2025 13:16:00
venom,0.159055,334010864,-0.04574,0.163165,0.158454,0.782403,0.03459851,29-08-2025 13:16:00
eos,0.494862,331065504,-2.42532,0.513986,0.494467,22.71,0.402746,29-08-2025 13:16:00
agentfun-ai,3.29,330918507,-15.16596,4.35,3.25,25.25,1.4,29-08-2025 13:16:00
ether-fi-staked-btc,109539.0,325113925,-2.65881,113891.0,109382.0,124851.0,58795.0,29-08-2025 13:16:00
terra-luna,5.915e-05,325000960,-2.00376,6.095e-05,5.904e-05,119.18,9.99967e-07,29-08-2025 13:16:00
akash-network,1.17,324192393,-1.23141,1.25,1.17,8.07,0.164994,29-08-2025 13:16:00
rekt-4,7.57564e-07,320233818,-2.40223,7.91847e-07,6.881e-07,1.41e-06,3.1106e-08,29-08-2025 13:16:00
livepeer,7.3,319578743,-11.23504,8.78,7.29,99.03,0.354051,29-08-2025 13:16:00
resolv-usr,1.0,319123778,0.03078,1.001,0.999731,1.022,0.959194,29-08-2025 13:16:00
